ah,10559,10
all,10217,20
apply,10135,181
are,10569,38
b,10354,277
bak,10622,281
because,10541,368
before,10517,393
birthday,10185,466
bro,10137,287
btw,10388,379
business,10464,522
but,10544,278
bye,10334,86
c,10409,524
can,10447,534
cool,10398,526
cuz,10541,737
d,10512,756
de,10512,87
do,10453,88
doing,10335,775
dont,10274,762
ee,10239,946
family,10080,1074
for,10495,1062
forget,10277,1142
friends,10234,1151
from,10422,1089
fucking,10607,1159
fun,10075,1076
going,10619,1185
haha,10444,1302
hahaha,10444,1303
hey,10442,1284
hoe,10515,89
honey,10180,1285
hospital,10545,1424
how,10574,1369
hurt,10119,1308
just,10575,1656
k,10123,1659
know,10503,1825
love,10478,1908
m,10593,1949
me,10402,90
mobile,10469,2137
mor,10505,1960
movie,10393,2156
muh,10590,1952
n,10604,2214
new,10535,2220
noo,10608,91
nothing,10472,2320
oh,10592,2345
ok,10123,2347
one,10179,2353
phat,10471,2527
phone,10353,2417
pictures,10596,2547
plz,10543,2561
ppl,10563,2433
remember,10461,2756
right,10525,2788
said,10361,2805
see,10409,2802
serious,10202,2939
seriously,10176,2940
should,10301,2992
sorry,10483,92
support,10399,3055
sure,10358,2813
talk,10414,3149
tha,10512,3134
thaa,10315,3134
that,10315,3239
these,10508,3243
they,10073,93
thing,10151,3245
think,10384,3235
thinking,10493,3247
this,10599,3243
time,10268,3158
to,10403,94
tuu,10403,3119
us,10235,95
use,10581,3370
wait,10627,3437
way,10252,3423
who,10572,3425
will,10136,3426
with,10621,3506
would,10300,3449
yah,10586,3534
year,10227,3529
years,10198,3547
yes,10524,3548
