1st,89775,2232
2day,89879,17189
2mrw,90250,7800
4get,89913,354
about,90212,15744
abt,90212,15744
acc,90185,3927
actually,90185,851
afta,89811,10928
after,89811,8062
again,89751,6739
ah,90195,5420
ahh,90195,5420
ain,90079,24803
aint,90079,3269
all,89853,24460
alright,90184,19908
am,90229,3542
amazing,90157,14459
and,90240,10361
anyway,89714,21588
apply,89771,14187
appreciate,89832,23507
are,90205,211
askin,90101,12355
asking,90101,4633
b,89990,12363
b4,90153,8648
baby,89909,12363
back,90258,1450
bak,90258,8682
bb,90176,12363
bc,90177,17301
bck,90258,1450
bcuz,90177,5412
bday,89821,21630
be,89990,12363
because,90177,7952
bed,90194,21630
been,90178,23915
before,90153,23450
being,89877,11906
between,90024,14342
bf,90173,15072
bhee,89990,7288
big,90146,9540
bio,90137,12363
biology,90137,19240
birthday,89821,23338
bitch,90111,19273
black,89776,8786
blck,89776,8786
bn,90178,23915
boi,89763,12363
boy,89763,12363
boyfriend,90173,15849
bridge,89957,1046
bro,89773,2732
brother,89773,14461
bs,90182,17301
bt,90180,2590
btw,90024,24470
business,90100,23483
but,90180,2590
buy,90008,12363
bye,89970,12363
c,90045,22462
can,90083,15410
chem,89736,22327
chemistry,89736,22816
chick,89717,8710
cho,90222,20658
clean,90155,10008
cnt,90162,22754
come,90134,67
comin,90231,19629
coming,90231,16082
computer,89847,11724
confused,89700,10229
congrats,90060,5656
congratulations,90060,23438
cont,90082,22754
continued,90082,15294
conversation,89730,5185
cooking,89898,17925
cool,90034,24872
could,89905,18481
coz,90177,17608
crazy,89809,7458
cum,90134,67
cuz,90177,17608
d,90148,20487
da,90148,20487
damn,90200,8744
dat,89951,11018
dats,89822,15398
de,90148,20487
def,89803,2393
dese,90144,15216
dey,89709,20487
dha,90148,13567
didnt,89802,10344
dirty,90032,170
dnt,89910,10344
do,90089,20487
dog,89878,1105
doin,89971,22266
doing,89971,22384
dollar,90254,14631
dont,89910,10344
driving,90033,4648
du,90089,20487
dude,90063,20487
dy,90010,20487
dye,90010,20487
dying,89955,22384
education,90087,14012
ee,89875,14139
either,90057,5415
entire,89798,10706
esp,90163,7686
especially,90163,19866
every1,90193,11276
everybody,90067,19442
everyone,90193,23104
exhausted,89843,8704
experience,89985,19814
f,90076,22248
facebook,89824,12343
family,89716,24058
far,90225,21621
fat,90107,20154
fck,90076,6294
feeling,90165,3415
fine,90075,2238
finger,90168,5310
first,89775,21157
flirting,89912,2300
fo,90131,22248
fone,89989,2238
for,90131,21621
forever,89735,2296
forget,89913,4381
foto,89889,20154
friends,89870,2698
frm,90058,6244
frnds,89870,2698
from,90058,6244
fuck,90076,6294
fucked,90041,10869
fucking,90243,22175
fun,89711,2238
g0t,90068,18725
gay,90261,18354
gettin,89872,18283
getting,89872,4035
gf,89699,2727
girl,89770,19255
girlfriend,89699,11499
givin,90120,11252
giving,90120,1219
goin,90255,20562
going,90255,2116
gon,89883,20562
gonna,89883,20562
good,90253,6860
got,90068,22360
gt,90068,22360
gud,90253,6860
haha,90080,15621
hahah,90080,3885
happend,90169,1133
happened,90169,1133
hav,90187,13879
have,90187,13879
havent,89727,24522
he,89875,15621
here,90149,8465
hey,90078,15621
him,89764,19897
hoe,90151,15621
hold,89818,19375
holding,89873,22998
honey,89816,2763
hospital,90181,17855
hot,90150,4638
hours,90001,24413
how,90210,23802
hrs,90001,24413
hurt,89755,17910
hurts,89991,3965
hve,90187,13879
hw,90210,23802
ii,90084,16209
im,90086,23596
important,90123,8240
improve,90214,24335
interesting,90154,11495
interview,89928,21692
is,89882,14776
isnt,89848,9740
it,89862,9470
jus,90211,1846
just,90211,2340
k,89759,7058
keeping,90251,1016
kissing,89946,7052
kno,90139,566
know,90139,13406
kool,90034,5234
leaving,89820,2219
like,90236,14798
lil,89962,1289
listening,89842,13056
little,89962,14879
live,89965,5527
long,89806,16657
looking,90049,7404
lord,89981,4085
love,90114,5527
loving,90143,2219
lyk,90236,14798
m,90229,22821
mah,90226,5253
makin,90053,749
making,90053,5903
man,90088,3659
me,90038,22821
mee,90038,22821
meh,90038,5253
message,89783,22788
mins,89959,2249
minutes,89959,5150
mis,89968,7696
miss,89968,7696
missing,90249,16441
mix,89982,2818
mobi,90105,4845
mobile,90105,7224
months,90245,7236
mor,90141,6584
more,90141,6584
most,90140,13996
mouth,89708,23563
movie,90029,2654
moving,90026,11837
msg,89783,22788
muh,90226,5253
my,90226,22821
n,90240,13321
nah,90244,18865
natural,90207,20951
nd,90240,10323
never,90138,19902
new,90171,4109
next,90256,9445
night,89886,590
nite,89886,6353
no,90244,13321
nobody,89924,8040
noo,90244,13321
not,90246,6353
nothing,90108,21500
now,90248,4109
nt,90246,6353
nvr,90138,19902
nw,90248,4109
nxt,90256,9445
o,90189,14270
od,90187,16259
of,90189,10097
oh,90228,16452
ohh,90228,16452
ok,89759,10249
okay,89900,10249
one,89815,9005
otha,90188,5979
other,90188,4191
out,90018,13721
over,89819,16147
ovr,89819,16147
parking,89784,22313
people,90199,10266
phat,90107,13387
phone,89989,9565
photo,89889,13387
pic,90230,15815
pick,90227,19201
pics,90232,446
picture,90230,23796
pix,90232,17197
planning,90252,16238
player,89742,21399
playing,90156,22406
please,90179,2367
plot,90183,20915
pls,90179,2367
plz,90179,22004
ppl,90199,10266
price,89766,16074
prob,90172,6654
problem,90172,5783
r,90205,16556
ready,89869,9488
really,89983,15603
rec,89887,19176
remeber,90097,1131
remember,90097,11259
right,90161,11365
rly,89983,15603
rocking,89926,1351
s,90048,11305
said,89997,8895
sayin,90000,23234
saying,90000,21316
school,90113,15695
see,90045,11305
sendin,90260,14831
sending,90260,22739
serious,89838,968
seriously,89812,17295
session,90064,23234
shit,90013,6520
shld,89937,14842
shop,90201,9786
shopping,90191,19180
should,89937,14842
shyt,90013,6520
since,90259,11219
singing,90234,22900
sitting,90142,7853
skool,90113,14468
sleep,90074,19777
slowly,89720,12432
so,90198,11305
some,90238,13409
someone,90122,9451
something,90206,864
sometimes,89715,9487
somewhere,89828,21808
song,89833,21316
songs,89710,17367
soo,90198,11305
sorry,90119,13375
starting,89725,23375
strong,89785,23447
sum1,90122,1965
support,90035,18298
sure,89994,13375
sweet,89921,9393
talk,90050,12408
talking,90247,9812
teachers,89789,447
text,89777,15599
tha,90148,19731
thaa,89951,19731
than,90167,20208
thanks,90127,23623
thanx,90127,7309
that,89951,9437
thats,89822,18260
the,90148,19731
them,90003,6471
there,90028,18493
these,90144,6453
they,89709,19731
thing,89787,22307
think,90020,16186
thinking,90129,448
this,90235,6453
thnx,90127,7309
tht,89951,9437
thx,90127,17220
til,90242,2405
time,89904,4628
tired,89995,9099
tnx,90127,9062
to,90039,1059
today,89879,5984
tol,89925,2405
told,89925,7636
tomm,90250,4628
tomorrow,90250,5806
tonight,89825,17692
tonite,89825,9114
tru,89728,667
trying,90112,12228
tuu,90039,1059
txt,89777,15599
u,90262,9127
um,90170,8324
umm,90170,8324
until,90242,14320
up,90218,5098
ur,90222,20700
us,89871,9589
use,90217,9589
uu,90262,9127
uz,90217,24555
vergin,89799,22785
virgin,89799,22785
w,90257,12982
wait,90263,19841
walking,89762,7365
was,89911,23451
wasnt,89953,21401
wat,90209,19841
wata,90209,19841
watchin,90061,8250
watching,90061,12331
way,89888,12982
wearing,89792,15589
weather,90044,22172
wedding,90051,90
weekend,89984,11334
weird,90094,15808
wh,90042,20958
what,90209,18606
whatever,89752,19088
where,90265,4847
who,90208,20958
wht,90209,18606
why,90042,20958
wife,90022,23226
wil,89772,10602
will,89772,10602
with,90257,15578
work,89854,19122
world,89923,4613
would,89936,19759
wouldnt,90186,6399
wrk,89854,19122
wud,89936,22994
wx,90044,4250
y,90042,12316
yaa,90262,12316
yah,90222,18463
yal,90059,11137
yay,90126,12316
yea,89804,12316
yeah,89967,18463
year,89863,21138
years,89834,19701
yes,90160,18264
you,90262,12316
your,90222,21138
yr,89863,21138
yrs,89834,19701
yu,90262,12316
